p	N	S	T
10	470000	5249.9999999878	0.0022334000
10	1000000	5249.9999999973	0.0026503000
10	2200000	5249.9999999994	0.0026126000
10	4700000	5250.0000000000	0.0033363000
10	10000000	5250.0000000001	0.0060176000
10	22000000	5250.0000000000	0.0092002000
10	47000000	5249.9999999999	0.0162582000
10	100000000	5249.9999999997	0.0324771000
10	220000000	5250.0000000001	0.0670067000
10	470000000	5249.9999999996	0.1415869000
10	1000000000	5250.0000000003	0.2984639000
10	2200000000	5250.0000000001	0.6599606000
10	4700000000	5249.9999999969	1.3937429000
10	10000000000	5249.9999999945	2.9121934000
11	1	2550.0000000000	0.0017854000
11	2	4575.0000000000	0.0023065000
11	4	5081.2500000000	0.0025190000
11	7	5194.8979591837	0.0020849000
11	10	5223.0000000000	0.0021330000
11	22	5244.4214876033	0.0021413000
11	47	5248.7777274785	0.0022850000
11	100	5249.7300000000	0.0021421000
11	220	5249.9442148760	0.0022028000
11	470	5249.9877772748	0.0022198000
11	1000	5249.9973000000	0.0021401000
11	2200	5249.9994421488	0.0023094000
11	4700	5249.9998777727	0.0022879000
11	10000	5249.9999730000	0.0021512000
11	22000	5249.9999944215	0.0022775000
11	47000	5249.9999987777	0.0026794000
11	100000	5249.9999997300	0.0022533000
11	220000	5249.9999999442	0.0022001000
11	470000	5249.9999999878	0.0024214000
11	1000000	5249.9999999973	0.0027841000
11	2200000	5249.9999999994	0.0031453000
11	4700000	5249.9999999999	0.0040433000
11	10000000	5250.0000000001	0.0063510000
11	22000000	5250.0000000000	0.0094953000
11	47000000	5249.9999999999	0.0170527000
11	100000000	5249.9999999997	0.0313276000
11	220000000	5250.0000000000	0.0670687000
11	470000000	5249.9999999998	0.1387752000
11	1000000000	5250.0000000000	0.3113207000
11	2200000000	5249.9999999993	0.6387812000
11	4700000000	5249.9999999946	1.3924676000
11	10000000000	5249.9999999771	2.8734997000
12	1	2550.0000000000	0.0029494000
12	2	4575.0000000000	0.0029376000
12	4	5081.2500000000	0.0025375000
12	7	5194.8979591837	0.0024045000
12	10	5223.0000000000	0.0023459000
12	22	5244.4214876033	0.0024138000
12	47	5248.7777274785	0.0026163000
12	100	5249.7300000000	0.0024150000
12	220	5249.9442148760	0.0023036000
12	470	5249.9877772748	0.0023414000
12	1000	5249.9973000000	0.0027974000
12	2200	5249.9994421488	0.0022101000
12	4700	5249.9998777727	0.0028445000
12	10000	5249.9999730000	0.0024405000
12	22000	5249.9999944215	0.0024358000
12	47000	5249.9999987777	0.0023466000
12	100000	5249.9999997300	0.0024488000
12	220000	5249.9999999442	0.0026997000
12	470000	5249.9999999878	0.0032302000
12	1000000	5249.9999999973	0.0033889000
12	2200000	5249.9999999995	0.0040556000
12	4700000	5250.0000000000	0.0048248000
12	10000000	5250.0000000001	0.0069081000
12	22000000	5250.0000000001	0.0115619000
12	47000000	5249.9999999999	0.0228125000
12	100000000	5249.9999999999	0.0444117000
12	220000000	5250.0000000008	0.0848699000
12	470000000	5250.0000000014	0.1527100000
12	1000000000	5250.0000000031	0.3046963000
12	2200000000	5250.0000000079	0.6526603000
12	4700000000	5250.0000000198	1.4274599000
12	10000000000	5250.0000000487	2.9630299000
1	1	2550.0000000000	0.0000037000
1	2	4575.0000000000	0.0000038000
1	4	5081.2500000000	0.0000042000
1	7	5194.8979591837	0.0000042000
1	10	5223.0000000000	0.0000036000
1	22	5244.4214876033	0.0000093000
1	47	5248.7777274785	0.0000042000
1	100	5249.7300000000	0.0000041000
1	220	5249.9442148760	0.0000042000
1	470	5249.9877772748	0.0000046000
1	1000	5249.9973000000	0.0000060000
1	2200	5249.9994421488	0.0000088000
1	4700	5249.9998777728	0.0000129000
1	10000	5249.9999730000	0.0000236000
1	22000	5249.9999944215	0.0000504000
1	47000	5249.9999987777	0.0000996000
1	100000	5249.9999997299	0.0002042000
1	220000	5249.9999999442	0.0004446000
1	470000	5249.9999999877	0.0009529000
1	1000000	5249.9999999975	0.0021208000
1	2200000	5249.9999999997	0.0044434000
1	4700000	5249.9999999993	0.0095458000
1	10000000	5250.0000000004	0.0205193000
1	22000000	5250.0000000003	0.0451933000
1	47000000	5250.0000000014	0.0944486000
1	100000000	5249.9999999997	0.2040093000
1	220000000	5249.9999999990	0.4465879000
1	470000000	5249.9999999987	0.9541407000
1	1000000000	5249.9999999958	2.0251014000
1	2200000000	5249.9999999861	4.4773901000
1	4700000000	5249.9999999630	9.5041840000
1	10000000000	5249.9999998957	20.2861334000
2	1	2550.0000000000	0.0004579001
2	2	4575.0000000000	0.0002848000
2	4	5081.2500000000	0.0003918000
2	7	5194.8979591837	0.0005615000
2	10	5223.0000000000	0.0004123000
2	22	5244.4214876033	0.0004490000
2	47	5248.7777274785	0.0004174000
2	100	5249.7300000000	0.0004125000
2	220	5249.9442148760	0.0003925000
2	470	5249.9877772748	0.0004410000
2	1000	5249.9973000000	0.0004407000
2	2200	5249.9994421488	0.0003485000
2	4700	5249.9998777728	0.0003559000
2	10000	5249.9999730000	0.0003523000
2	22000	5249.9999944215	0.0004580000
2	47000	5249.9999987777	0.0007560000
2	100000	5249.9999997300	0.0005304000
2	220000	5249.9999999441	0.0006213000
2	470000	5249.9999999877	0.0009722000
2	1000000	5249.9999999974	0.0014386000
2	2200000	5249.9999999995	0.0024865000
2	4700000	5249.9999999997	0.0051375000
2	10000000	5250.0000000000	0.0108410000
2	22000000	5250.0000000002	0.0236461000
2	47000000	5250.0000000007	0.0503578000
2	100000000	5249.9999999998	0.1065796000
2	220000000	5249.9999999993	0.2248459000
2	470000000	5249.9999999983	0.4779937000
2	1000000000	5249.9999999953	1.0266784000
2	2200000000	5249.9999999869	2.2917458000
2	4700000000	5249.9999999627	4.9875063000
2	10000000000	5249.9999998949	10.4168626000
3	1	2550.0000000000	0.0004442000
3	2	4575.0000000000	0.0011299000
3	4	5081.2500000000	0.0006730000
3	7	5194.8979591837	0.0006972000
3	10	5223.0000000000	0.0005573000
3	22	5244.4214876033	0.0005995000
3	47	5248.7777274785	0.0006025000
3	100	5249.7300000000	0.0013838000
3	220	5249.9442148760	0.0005870000
3	470	5249.9877772748	0.0006426000
3	1000	5249.9973000000	0.0006287000
3	2200	5249.9994421488	0.0005488000
3	4700	5249.9998777728	0.0006352000
3	10000	5249.9999730000	0.0007482000
3	22000	5249.9999944215	0.0006934000
3	47000	5249.9999987777	0.0006509000
3	100000	5249.9999997300	0.0007525000
3	220000	5249.9999999441	0.0008426000
3	470000	5249.9999999877	0.0009732000
3	1000000	5249.9999999973	0.0013829000
3	2200000	5249.9999999994	0.0022601000
3	4700000	5249.9999999997	0.0038203000
3	10000000	5249.9999999999	0.0093414000
3	22000000	5249.9999999999	0.0244682000
3	47000000	5250.0000000010	0.0362826000
3	100000000	5250.0000000020	0.0691026000
3	220000000	5250.0000000032	0.1603388000
3	470000000	5250.0000000060	0.3437956000
3	1000000000	5250.0000000198	0.7396741000
3	2200000000	5250.0000000488	1.5921165000
3	4700000000	5250.0000001205	3.4917332000
3	10000000000	5250.0000002980	7.1839436000
4	1	2550.0000000000	0.0006556000
4	2	4575.0000000000	0.0008892000
4	4	5081.2500000000	0.0008810000
4	7	5194.8979591837	0.0010140000
4	10	5223.0000000000	0.0008696000
4	22	5244.4214876033	0.0008753000
4	47	5248.7777274785	0.0008622000
4	100	5249.7300000000	0.0009392000
4	220	5249.9442148760	0.0008896000
4	470	5249.9877772748	0.0008843000
4	1000	5249.9973000000	0.0007721000
4	2200	5249.9994421488	0.0008954000
4	4700	5249.9998777727	0.0008906000
4	10000	5249.9999730000	0.0009514000
4	22000	5249.9999944215	0.0008064000
4	47000	5249.9999987777	0.0008654000
4	100000	5249.9999997300	0.0009105000
4	220000	5249.9999999442	0.0010374000
4	470000	5249.9999999877	0.0013821000
4	1000000	5249.9999999972	0.0013634000
4	2200000	5249.9999999994	0.0021106000
4	4700000	5249.9999999997	0.0030745000
4	10000000	5249.9999999997	0.0066734000
4	22000000	5250.0000000001	0.0159928000
4	47000000	5250.0000000002	0.0292875000
4	100000000	5250.0000000001	0.0638335000
4	220000000	5249.9999999998	0.1364658000
4	470000000	5249.9999999983	0.2737301000
4	1000000000	5249.9999999996	0.5732678000
4	2200000000	5249.9999999984	1.2576337000
4	4700000000	5249.9999999951	2.6636206000
4	10000000000	5249.9999999865	5.6440632000
5	1	2550.0000000000	0.0008360000
5	2	4575.0000000000	0.0009923000
5	4	5081.2500000000	0.0009729000
5	7	5194.8979591837	0.0013699000
5	10	5223.0000000000	0.0011407000
5	22	5244.4214876033	0.0011179000
5	47	5248.7777274785	0.0010948000
5	100	5249.7300000000	0.0010501000
5	220	5249.9442148760	0.0010674000
5	470	5249.9877772748	0.0010521000
5	1000	5249.9973000000	0.0013295000
5	2200	5249.9994421488	0.0010763000
5	4700	5249.9998777727	0.0010829000
5	10000	5249.9999730000	0.0011080000
5	22000	5249.9999944215	0.0010797000
5	47000	5249.9999987777	0.0010450000
5	100000	5249.9999997300	0.0012118000
5	220000	5249.9999999442	0.0012467000
5	470000	5249.9999999878	0.0013423000
5	1000000	5249.9999999973	0.0015713000
5	2200000	5249.9999999994	0.0019832000
5	4700000	5249.9999999997	0.0032108000
5	10000000	5249.9999999998	0.0062145000
5	22000000	5250.0000000001	0.0100915000
5	47000000	5249.9999999999	0.0256879000
5	100000000	5249.9999999989	0.0427588000
5	220000000	5250.0000000004	0.1066592000
5	470000000	5249.9999999986	0.2279994000
5	1000000000	5249.9999999991	0.4752253000
5	2200000000	5249.9999999955	1.0558065000
5	4700000000	5249.9999999866	2.1988109000
5	10000000000	5249.9999999615	4.7612133000
6	1	2550.0000000000	0.0011833000
6	2	4575.0000000000	0.0013786000
6	4	5081.2500000000	0.0011468000
6	7	5194.8979591837	0.0012928000
6	10	5223.0000000000	0.0011265000
6	22	5244.4214876033	0.0012184000
6	47	5248.7777274785	0.0012851000
6	100	5249.7300000000	0.0012875000
6	220	5249.9442148760	0.0014638000
6	470	5249.9877772748	0.0015277000
6	1000	5249.9973000000	0.0014021000
6	2200	5249.9994421488	0.0016877000
6	4700	5249.9998777727	0.0012096000
6	10000	5249.9999730000	0.0012569000
6	22000	5249.9999944215	0.0015134000
6	47000	5249.9999987777	0.0012430000
6	100000	5249.9999997300	0.0013894000
6	220000	5249.9999999442	0.0013270000
6	470000	5249.9999999878	0.0016364000
6	1000000	5249.9999999973	0.0017489000
6	2200000	5249.9999999995	0.0023089000
6	4700000	5249.9999999998	0.0036492000
6	10000000	5249.9999999999	0.0064777000
6	22000000	5250.0000000001	0.0113394000
6	47000000	5249.9999999995	0.0229951000
6	100000000	5249.9999999999	0.0458991000
6	220000000	5250.0000000018	0.0964487000
6	470000000	5250.0000000027	0.2164458000
6	1000000000	5250.0000000081	0.4271130000
6	2200000000	5250.0000000199	0.9393126000
6	4700000000	5250.0000000487	1.9557773000
6	10000000000	5250.0000001203	4.1242681000
7	1	2550.0000000000	0.0012709000
7	2	4575.0000000000	0.0016215999
7	4	5081.2500000000	0.0014469000
7	7	5194.8979591837	0.0015728000
7	10	5223.0000000000	0.0014223000
7	22	5244.4214876033	0.0015636000
7	47	5248.7777274785	0.0015869000
7	100	5249.7300000000	0.0016720000
7	220	5249.9442148760	0.0016874000
7	470	5249.9877772748	0.0018175000
7	1000	5249.9973000000	0.0015857000
7	2200	5249.9994421488	0.0016671999
7	4700	5249.9998777727	0.0016815000
7	10000	5249.9999730000	0.0016582000
7	22000	5249.9999944215	0.0016193000
7	47000	5249.9999987777	0.0015839000
7	100000	5249.9999997300	0.0016563000
7	220000	5249.9999999442	0.0016485000
7	470000	5249.9999999878	0.0019221000
7	1000000	5249.9999999973	0.0020294000
7	2200000	5249.9999999994	0.0024155000
7	4700000	5250.0000000000	0.0034302000
7	10000000	5249.9999999999	0.0057211000
7	22000000	5249.9999999998	0.0106405000
7	47000000	5249.9999999996	0.0211314000
7	100000000	5249.9999999997	0.0420266000
7	220000000	5250.0000000007	0.0971930000
7	470000000	5249.9999999997	0.1788572000
7	1000000000	5250.0000000006	0.3864483000
7	2200000000	5249.9999999997	0.8569156000
7	4700000000	5249.9999999987	1.7530514000
7	10000000000	5249.9999999951	3.8026415000
8	1	2550.0000000000	0.0013094000
8	2	4575.0000000000	0.0021574000
8	4	5081.2500000000	0.0021157000
8	7	5194.8979591837	0.0018198000
8	10	5223.0000000000	0.0018100000
8	22	5244.4214876033	0.0023996000
8	47	5248.7777274785	0.0018259000
8	100	5249.7300000000	0.0020731000
8	220	5249.9442148760	0.0016962000
8	470	5249.9877772748	0.0017412000
8	1000	5249.9973000000	0.0018495000
8	2200	5249.9994421488	0.0018137000
8	4700	5249.9998777727	0.0017737000
8	10000	5249.9999730000	0.0018241000
8	22000	5249.9999944215	0.0016279000
8	47000	5249.9999987777	0.0017147000
8	100000	5249.9999997300	0.0017478000
8	220000	5249.9999999442	0.0017583000
8	470000	5249.9999999878	0.0019148000
8	1000000	5249.9999999973	0.0022341000
8	2200000	5249.9999999995	0.0031192000
8	4700000	5250.0000000000	0.0033379000
8	10000000	5250.0000000001	0.0053230000
8	22000000	5250.0000000000	0.0097944000
8	47000000	5249.9999999998	0.0179092000
8	100000000	5249.9999999998	0.0376594000
8	220000000	5250.0000000006	0.0794949000
8	470000000	5249.9999999995	0.1654929999
8	1000000000	5249.9999999995	0.3435876000
8	2200000000	5249.9999999982	0.7504037000
8	4700000000	5249.9999999957	1.6020033000
8	10000000000	5249.9999999872	3.3444163000
9	1	2550.0000000000	0.0014098000
9	2	4575.0000000000	0.0019781000
9	4	5081.2500000000	0.0017542000
9	7	5194.8979591837	0.0022709999
9	10	5223.0000000000	0.0017231000
9	22	5244.4214876033	0.0017833000
9	47	5248.7777274785	0.0020146000
9	100	5249.7300000000	0.0018772000
9	220	5249.9442148760	0.0018244000
9	470	5249.9877772748	0.0023040000
9	1000	5249.9973000000	0.0019515000
9	2200	5249.9994421488	0.0019673000
9	4700	5249.9998777727	0.0020339999
9	10000	5249.9999730000	0.0017140000
9	22000	5249.9999944215	0.0019479000
9	47000	5249.9999987777	0.0019912000
9	100000	5249.9999997300	0.0018796000
9	220000	5249.9999999442	0.0019421000
9	470000	5249.9999999878	0.0019677000
9	1000000	5249.9999999973	0.0020235000
9	2200000	5249.9999999994	0.0027425000
9	4700000	5250.0000000000	0.0033635000
9	10000000	5250.0000000001	0.0055679000
9	22000000	5249.9999999999	0.0093871000
9	47000000	5250.0000000000	0.0173240000
9	100000000	5250.0000000000	0.0351511000
9	220000000	5250.0000000004	0.0735305000
9	470000000	5250.0000000007	0.1571817000
9	1000000000	5250.0000000033	0.3168025000
9	2200000000	5250.0000000080	0.6846792000
9	4700000000	5250.0000000198	1.5010503000
9	10000000000	5250.0000000359	3.1079616000
10	1	2550.0000000000	0.0020517000
10	2	4575.0000000000	0.0023197000
10	4	5081.2500000000	0.0024032000
10	7	5194.8979591837	0.0021846000
10	10	5223.0000000000	0.0021019000
10	22	5244.4214876033	0.0019667000
10	47	5248.7777274785	0.0019530000
10	100	5249.7300000000	0.0018934000
10	220	5249.9442148760	0.0021004000
10	470	5249.9877772748	0.0220105000
10	1000	5249.9973000000	0.0024558000
10	2200	5249.9994421488	0.0018432000
10	4700	5249.9998777727	0.0029295000
10	10000	5249.9999730000	0.0021765000
10	22000	5249.9999944215	0.0020042000
10	47000	5249.9999987777	0.0024657000
10	100000	5249.9999997300	0.0021680000
10	220000	5249.9999999442	0.0019755000
10	470000	5249.9999999878	0.0022592000
10	1000000	5249.9999999973	0.0022452000
10	2200000	5249.9999999994	0.0026672000
10	4700000	5250.0000000000	0.0033381000
10	10000000	5250.0000000001	0.0055480000
10	22000000	5250.0000000000	0.0089504000
10	47000000	5249.9999999999	0.0163476000
10	100000000	5249.9999999997	0.0317561000
10	220000000	5250.0000000001	0.0670238000
10	470000000	5249.9999999996	0.1383771000
10	1000000000	5250.0000000003	0.2993573000
10	2200000000	5250.0000000001	0.6407763000
10	4700000000	5249.9999999969	1.3912204000
10	10000000000	5249.9999999945	2.8697261000
11	1	2550.0000000000	0.0018304000
11	2	4575.0000000000	0.0026496000
11	4	5081.2500000000	0.0023468000
11	7	5194.8979591837	0.0022635000
11	10	5223.0000000000	0.0023276000
11	22	5244.4214876033	0.0022452000
11	47	5248.7777274785	0.0022400000
11	100	5249.7300000000	0.0021098000
11	220	5249.9442148760	0.0021089000
11	470	5249.9877772748	0.0022191000
11	1000	5249.9973000000	0.0024671000
11	2200	5249.9994421488	0.0022309000
11	4700	5249.9998777727	0.0023092000
11	10000	5249.9999730000	0.0022487000
11	22000	5249.9999944215	0.0021406000
11	47000	5249.9999987777	0.0021405000
11	100000	5249.9999997300	0.0024027000
11	220000	5249.9999999442	0.0023789000
11	470000	5249.9999999878	0.0026478000
11	1000000	5249.9999999973	0.0028394000
11	2200000	5249.9999999994	0.0031827000
11	4700000	5249.9999999999	0.0042418000
11	10000000	5250.0000000001	0.0061502000
11	22000000	5250.0000000000	0.0099256000
11	47000000	5249.9999999999	0.0168347000
11	100000000	5249.9999999997	0.0326683000
11	220000000	5250.0000000000	0.0691290000
11	470000000	5249.9999999998	0.1460081000
11	1000000000	5250.0000000000	0.3016811000
11	2200000000	5249.9999999993	0.6618034000
11	4700000000	5249.9999999946	1.3508960000
11	10000000000	5249.9999999771	3.0009742000
12	1	2550.0000000000	0.0019738000
12	2	4575.0000000000	0.0029501000
12	4	5081.2500000000	0.0022523000
12	7	5194.8979591837	0.0023462000
12	10	5223.0000000000	0.0024639000
12	22	5244.4214876033	0.0027291000
12	47	5248.7777274785	0.0024178000
12	100	5249.7300000000	0.0024998000
12	220	5249.9442148760	0.0024636000
12	470	5249.9877772748	0.0024688000
12	1000	5249.9973000000	0.0022925000
12	2200	5249.9994421488	0.0030769000
12	4700	5249.9998777727	0.0025264000
12	10000	5249.9999730000	0.0024699000
12	22000	5249.9999944215	0.0023509000
12	47000	5249.9999987777	0.0024151000
12	100000	5249.9999997300	0.0026240000
12	220000	5249.9999999442	0.0025186000
12	470000	5249.9999999878	0.0025988000
12	1000000	5249.9999999973	0.0031787000
12	2200000	5249.9999999995	0.0035486000
12	4700000	5250.0000000000	0.0045014000
12	10000000	5250.0000000001	0.0066725001
12	22000000	5250.0000000001	0.0104407000
12	47000000	5249.9999999999	0.0227145000
12	100000000	5249.9999999999	0.0439069000
12	220000000	5250.0000000008	0.0803266000
12	470000000	5250.0000000014	0.1581206000
12	1000000000	5250.0000000031	0.3245548000
12	2200000000	5250.0000000079	0.6424935000
12	4700000000	5250.0000000198	1.4884260000
12	10000000000	5250.0000000487	3.1191885000
1	1	2550.0000000000	0.0000066000
1	2	4575.0000000000	0.0000034000
1	4	5081.2500000000	0.0000036000
1	7	5194.8979591837	0.0000068000
1	10	5223.0000000000	0.0000054000
1	22	5244.4214876033	0.0000041000
1	47	5248.7777274785	0.0000057000
1	100	5249.7300000000	0.0000051000
1	220	5249.9442148760	0.0000052000
1	470	5249.9877772748	0.0000052000
1	1000	5249.9973000000	0.0000059000
1	2200	5249.9994421488	0.0000082000
1	4700	5249.9998777728	0.0000132000
1	10000	5249.9999730000	0.0000237000
1	22000	5249.9999944215	0.0000476000
1	47000	5249.9999987777	0.0000987000
1	100000	5249.9999997299	0.0002432000
1	220000	5249.9999999442	0.0004752000
1	470000	5249.9999999877	0.0009545000
1	1000000	5249.9999999975	0.0020180000
1	2200000	5249.9999999997	0.0047856000
1	4700000	5249.9999999993	0.0094992000
1	10000000	5250.0000000004	0.0202776000
1	22000000	5250.0000000003	0.0446548000
1	47000000	5250.0000000014	0.0950093000
1	100000000	5249.9999999997	0.2042522000
1	220000000	5249.9999999990	0.4488133000
1	470000000	5249.9999999987	0.9904727000
1	1000000000	5249.9999999958	2.1128075000
1	2200000000	5249.9999999861	4.5408634000
1	4700000000	5249.9999999630	9.5832353000
1	10000000000	5249.9999998957	20.4461716000
2	1	2550.0000000000	0.0009892000
2	2	4575.0000000000	0.0004974000
2	4	5081.2500000000	0.0003295999
2	7	5194.8979591837	0.0003816000
2	10	5223.0000000000	0.0003872000
2	22	5244.4214876033	0.0004377000
2	47	5248.7777274785	0.0003889000
2	100	5249.7300000000	0.0004348000
2	220	5249.9442148760	0.0003682000
2	470	5249.9877772748	0.0004710000
2	1000	5249.9973000000	0.0004351000
2	2200	5249.9994421488	0.0004578000
2	4700	5249.9998777728	0.0003987000
2	10000	5249.9999730000	0.0005254000
2	22000	5249.9999944215	0.0005065000
2	47000	5249.9999987777	0.0003782000
2	100000	5249.9999997300	0.0004550000
2	220000	5249.9999999441	0.0007176000
2	470000	5249.9999999877	0.0008354000
2	1000000	5249.9999999974	0.0014724000
2	2200000	5249.9999999995	0.0027126000
2	4700000	5249.9999999997	0.0052592000
2	10000000	5250.0000000000	0.0107724000
2	22000000	5250.0000000002	0.0230294000
2	47000000	5250.0000000007	0.0477836001
2	100000000	5249.9999999998	0.1097672000
2	220000000	5249.9999999993	0.2309731000
2	470000000	5249.9999999983	0.4816497000
2	1000000000	5249.9999999953	1.0618037000
2	2200000000	5249.9999999869	2.3114058000
2	4700000000	5249.9999999627	4.9848636000
2	10000000000	5249.9999998949	10.6621836000
3	1	2550.0000000000	0.0005316000
3	2	4575.0000000000	0.0005503000
3	4	5081.2500000000	0.0008442000
3	7	5194.8979591837	0.0005953000
3	10	5223.0000000000	0.0006654000
3	22	5244.4214876033	0.0005836000
3	47	5248.7777274785	0.0006638000
3	100	5249.7300000000	0.0005781000
3	220	5249.9442148760	0.0005420000
3	470	5249.9877772748	0.0006429000
3	1000	5249.9973000000	0.0005664999
3	2200	5249.9994421488	0.0006257000
3	4700	5249.9998777728	0.0006319000
3	10000	5249.9999730000	0.0006725000
3	22000	5249.9999944215	0.0007646000
3	47000	5249.9999987777	0.0006474000
3	100000	5249.9999997300	0.0007210000
3	220000	5249.9999999441	0.0009809000
3	470000	5249.9999999877	0.0010444000
3	1000000	5249.9999999973	0.0013201000
3	2200000	5249.9999999994	0.0022216000
3	4700000	5249.9999999997	0.0038630000
3	10000000	5249.9999999999	0.0072963000
3	22000000	5249.9999999999	0.0211389000
3	47000000	5250.0000000010	0.0334987000
3	100000000	5250.0000000020	0.0725948000
3	220000000	5250.0000000032	0.1696643000
3	470000000	5250.0000000060	0.3449776000
3	1000000000	5250.0000000198	0.7328085000
3	2200000000	5250.0000000488	1.5773602000
3	4700000000	5250.0000001205	3.4164624000
3	10000000000	5250.0000002980	7.2082653000
4	1	2550.0000000000	0.0007351000
4	2	4575.0000000000	0.0009304000
4	4	5081.2500000000	0.0010468000
4	7	5194.8979591837	0.0008211000
4	10	5223.0000000000	0.0009003000
4	22	5244.4214876033	0.0008046000
4	47	5248.7777274785	0.0008418000
4	100	5249.7300000000	0.0018858000
4	220	5249.9442148760	0.0008259000
4	470	5249.9877772748	0.0009193000
4	1000	5249.9973000000	0.0009312000
4	2200	5249.9994421488	0.0007609000
4	4700	5249.9998777727	0.0009340000
4	10000	5249.9999730000	0.0008737000
4	22000	5249.9999944215	0.0008653000
4	47000	5249.9999987777	0.0008592000
4	100000	5249.9999997300	0.0008952000
4	220000	5249.9999999442	0.0010190000
4	470000	5249.9999999877	0.0009839000
4	1000000	5249.9999999972	0.0017640000
4	2200000	5249.9999999994	0.0026399000
4	4700000	5249.9999999997	0.0041527000
4	10000000	5249.9999999997	0.0065267000
4	22000000	5250.0000000001	0.0122900000
4	47000000	5250.0000000002	0.0255836000
4	100000000	5250.0000000001	0.0645174000
4	220000000	5249.9999999998	0.1280143000
4	470000000	5249.9999999983	0.2687032000
4	1000000000	5249.9999999996	0.5775803000
4	2200000000	5249.9999999984	1.2484565000
4	4700000000	5249.9999999951	2.6973638000
4	10000000000	5249.9999999865	5.6755473000
5	1	2550.0000000000	0.0010887000
5	2	4575.0000000000	0.0011450000
5	4	5081.2500000000	0.0010600000
5	7	5194.8979591837	0.0010564000
5	10	5223.0000000000	0.0012749000
5	22	5244.4214876033	0.0012116000
5	47	5248.7777274785	0.0015532000
5	100	5249.7300000000	0.0011347000
5	220	5249.9442148760	0.0013549000
5	470	5249.9877772748	0.0011892000
5	1000	5249.9973000000	0.0017726000
5	2200	5249.9994421488	0.0011509000
5	4700	5249.9998777727	0.0011836000
5	10000	5249.9999730000	0.0008738000
5	22000	5249.9999944215	0.0012011000
5	47000	5249.9999987777	0.0012398000
5	100000	5249.9999997300	0.0013142000
5	220000	5249.9999999442	0.0012634000
5	470000	5249.9999999878	0.0014607000
5	1000000	5249.9999999973	0.0019240000
5	2200000	5249.9999999994	0.0022098999
5	4700000	5249.9999999997	0.0030047000
5	10000000	5249.9999999998	0.0062461000
5	22000000	5250.0000000001	0.0113127000
5	47000000	5249.9999999999	0.0270379000
5	100000000	5249.9999999989	0.0515301000
5	220000000	5250.0000000004	0.1067381000
5	470000000	5249.9999999986	0.2229218000
5	1000000000	5249.9999999991	0.5003549000
5	2200000000	5249.9999999955	1.0578135000
5	4700000000	5249.9999999866	2.2206974000
5	10000000000	5249.9999999615	4.7044599000
6	1	2550.0000000000	0.0010411000
6	2	4575.0000000000	0.0011717000
6	4	5081.2500000000	0.0011734000
6	7	5194.8979591837	0.0013199000
6	10	5223.0000000000	0.0012078000
6	22	5244.4214876033	0.0012209000
6	47	5248.7777274785	0.0012764000
6	100	5249.7300000000	0.0012047000
6	220	5249.9442148760	0.0012455000
6	470	5249.9877772748	0.0014785000
6	1000	5249.9973000000	0.0014039000
6	2200	5249.9994421488	0.0012625000
6	4700	5249.9998777727	0.0012367000
6	10000	5249.9999730000	0.0012343000
6	22000	5249.9999944215	0.0014379000
6	47000	5249.9999987777	0.0014074999
6	100000	5249.9999997300	0.0014948000
6	220000	5249.9999999442	0.0014667000
6	470000	5249.9999999878	0.0015386000
6	1000000	5249.9999999973	0.0018374000
6	2200000	5249.9999999995	0.0022220000
6	4700000	5249.9999999998	0.0036074000
6	10000000	5249.9999999999	0.0063187000
6	22000000	5250.0000000001	0.0115828000
6	47000000	5249.9999999995	0.0230539000
6	100000000	5249.9999999999	0.0466466000
6	220000000	5250.0000000018	0.1067314000
6	470000000	5250.0000000027	0.2038125000
6	1000000000	5250.0000000081	0.4218004000
6	2200000000	5250.0000000199	0.9099298000
6	4700000000	5250.0000000487	1.9447638000
6	10000000000	5250.0000001203	4.1473394000
7	1	2550.0000000000	0.0017414000
7	2	4575.0000000000	0.0020794000
7	4	5081.2500000000	0.0015352000
7	7	5194.8979591837	0.0017452000
7	10	5223.0000000000	0.0016272000
7	22	5244.4214876033	0.0016852000
7	47	5248.7777274785	0.0015713000
7	100	5249.7300000000	0.0017106000
7	220	5249.9442148760	0.0016199000
7	470	5249.9877772748	0.0015876000
7	1000	5249.9973000000	0.0014822000
7	2200	5249.9994421488	0.0016723000
7	4700	5249.9998777727	0.0015619000
7	10000	5249.9999730000	0.0016445000
7	22000	5249.9999944215	0.0016306000
7	47000	5249.9999987777	0.0014838000
7	100000	5249.9999997300	0.0015347000
7	220000	5249.9999999442	0.0015535000
7	470000	5249.9999999878	0.0017268000
7	1000000	5249.9999999973	0.0018685000
7	2200000	5249.9999999994	0.0024473000
7	4700000	5250.0000000000	0.0033770000
7	10000000	5249.9999999999	0.0056602000
7	22000000	5249.9999999998	0.0107621000
7	47000000	5249.9999999996	0.0216643000
7	100000000	5249.9999999997	0.0408893000
7	220000000	5250.0000000007	0.0833421000
7	470000000	5249.9999999997	0.1800782000
7	1000000000	5250.0000000006	0.3749569000
7	2200000000	5249.9999999997	0.8464640000
7	4700000000	5249.9999999987	1.7838785000
7	10000000000	5249.9999999951	3.6877798000
8	1	2550.0000000000	0.0015892000
8	2	4575.0000000000	0.0017739000
8	4	5081.2500000000	0.0021773000
8	7	5194.8979591837	0.0017630000
8	10	5223.0000000000	0.0018268000
