p	N	S	T
5	4700000000	5249.9999999866	2.2206795000
5	10000000000	5249.9999999615	4.7660930000
6	1	2550.0000000000	0.0165566000
6	2	4575.0000000000	0.0014047000
6	4	5081.2500000000	0.0016302000
6	7	5194.8979591837	0.0015619000
6	10	5223.0000000000	0.0017345000
6	22	5244.4214876033	0.0011589000
6	47	5248.7777274785	0.0014167000
6	100	5249.7300000000	0.0013310999
6	220	5249.9442148760	0.0013448000
6	470	5249.9877772748	0.0014743001
6	1000	5249.9973000000	0.0012532000
6	2200	5249.9994421488	0.0012442000
6	4700	5249.9998777727	0.0012896000
6	10000	5249.9999730000	0.0014171000
6	22000	5249.9999944215	0.0012512000
6	47000	5249.9999987777	0.0013361000
6	100000	5249.9999997300	0.0013361000
6	220000	5249.9999999442	0.0015716000
6	470000	5249.9999999878	0.0018926000
6	1000000	5249.9999999973	0.0016419000
6	2200000	5249.9999999995	0.0024368000
6	4700000	5249.9999999998	0.0036117000
6	10000000	5249.9999999999	0.0061863000
6	22000000	5250.0000000001	0.0121679000
6	47000000	5249.9999999995	0.0234189000
6	100000000	5249.9999999999	0.0457742000
6	220000000	5250.0000000018	0.0984950000
6	470000000	5250.0000000027	0.2026427000
6	1000000000	5250.0000000081	0.4130802000
6	2200000000	5250.0000000199	0.9174554000
6	4700000000	5250.0000000487	1.9317035000
6	10000000000	5250.0000001203	4.2362353000
7	1	2550.0000000000	0.0012042000
7	2	4575.0000000000	0.0015046000
7	4	5081.2500000000	0.0015260000
7	7	5194.8979591837	0.0022774000
7	10	5223.0000000000	0.0017582000
7	22	5244.4214876033	0.0016311000
7	47	5248.7777274785	0.0016279000
7	100	5249.7300000000	0.0016746000
7	220	5249.9442148760	0.0015182000
7	470	5249.9877772748	0.0014272000
7	1000	5249.9973000000	0.0015681000
7	2200	5249.9994421488	0.0020681000
7	4700	5249.9998777727	0.0017030000
7	10000	5249.9999730000	0.0012341000
7	22000	5249.9999944215	0.0019145000
7	47000	5249.9999987777	0.0018455000
7	100000	5249.9999997300	0.0012100000
7	220000	5249.9999999442	0.0016297000
7	470000	5249.9999999878	0.0016648000
7	1000000	5249.9999999973	0.0020446000
7	2200000	5249.9999999994	0.0024601000
7	4700000	5250.0000000000	0.0034488000
7	10000000	5249.9999999999	0.0057728000
7	22000000	5249.9999999998	0.0105766000
7	47000000	5249.9999999996	0.0206060000
7	100000000	5249.9999999997	0.0428155000
7	220000000	5250.0000000007	0.0895144000
7	470000000	5249.9999999997	0.1840746000
7	1000000000	5250.0000000006	0.4142972000
7	2200000000	5249.9999999997	0.8265050000
7	4700000000	5249.9999999987	1.7597528000
7	10000000000	5249.9999999951	3.6756222000
8	1	2550.0000000000	0.0017934000
8	2	4575.0000000000	0.0024644000
8	4	5081.2500000000	0.0019100000
8	7	5194.8979591837	0.0020246000
