N	S	T
1	2550.0000000000	0.0000001000
2	4575.0000000000	0.0000000000
3	4950.0000000000	0.0000000000
4	5081.2500000000	0.0000001000
5	5142.0000000000	0.0000001000
6	5175.0000000000	0.0000001000
7	5194.8979591837	0.0000001000
8	5207.8125000000	0.0000000000
9	5216.6666666667	0.0000000000
10	5223.0000000000	0.0000001000
20	5243.2500000000	0.0000002000
30	5247.0000000000	0.0000001000
40	5248.3125000000	0.0000001000
50	5248.9200000000	0.0000001000
60	5249.2500000000	0.0000001000
70	5249.4489795918	0.0000001000
80	5249.5781250000	0.0000002000
90	5249.6666666667	0.0000002000
100	5249.7300000000	0.0000002000
200	5249.9325000000	0.0000003999
300	5249.9700000000	0.0000007000
400	5249.9831250000	0.0000008999
500	5249.9892000000	0.0000011000
600	5249.9925000000	0.0000016000
700	5249.9944897959	0.0000016000
800	5249.9957812500	0.0000016000
900	5249.9966666667	0.0000018000
1000	5249.9973000000	0.0000021000
2000	5249.9993250000	0.0000040000
3000	5249.9997000000	0.0000066000
4000	5249.9998312500	0.0000086000
5000	5249.9998920000	0.0000106000
6000	5249.9999250000	0.0000127000
7000	5249.9999448980	0.0000147000
8000	5249.9999578125	0.0000167000
9000	5249.9999666666	0.0000186000
10000	5249.9999730000	0.0000208000
100000	5249.9999997299	0.0002099000
200000	5249.9999999325	0.0004457000
300000	5249.9999999700	0.0006036000
400000	5249.9999999830	0.0008024000
500000	5249.9999999893	0.0010189000
600000	5249.9999999926	0.0012187000
700000	5249.9999999946	0.0014139000
800000	5249.9999999957	0.0016056000
900000	5249.9999999966	0.0018079000
1000000	5249.9999999975	0.0020236000
2000000	5249.9999999995	0.0040405000
4000000	5249.9999999996	0.0088269000
6000000	5250.0000000002	0.0121046000
8000000	5250.0000000000	0.0160635000
10000000	5250.0000000004	0.0201809000
12000000	5250.0000000003	0.0241273000
14000000	5249.9999999993	0.0282677000
16000000	5250.0000000006	0.0324290000
18000000	5250.0000000010	0.0364690000
20000000	5249.9999999997	0.0418288001
22000000	5250.0000000003	0.0459314000
24000000	5250.0000000007	0.0483787000
26000000	5249.9999999984	0.0526033000
28000000	5249.9999999984	0.0565273000
30000000	5250.0000000002	0.0603438000
32000000	5249.9999999998	0.0642982000
34000000	5250.0000000011	0.0684484000
36000000	5249.9999999992	0.0728993000
38000000	5250.0000000001	0.0765579000
40000000	5250.0000000024	0.0814632000
42000000	5249.9999999988	0.0848400000
44000000	5250.0000000026	0.0886181000
46000000	5250.0000000006	0.0926959000
48000000	5249.9999999997	0.0970335000
50000000	5249.9999999987	0.1008042000
