p	S	T
1	100000000000	25.8975246000	199999999999
2	100000000000	25.2676849000	99999999999
3	100000000000	17.0349705000	66666666667
4	100000000000	12.8576158000	49999999999
5	100000000000	10.7874744000	39999999999
6	100000000000	9.7808057000	33333333333
7	100000000000	8.5403218000	57142857143
8	100000000000	7.2954954000	24999999999
9	100000000000	6.5770820000	22222222223
10	100000000000	5.9929127000	39999999999
11	100000000000	5.4562167000	54545454545
12	100000000000	6.0928093000	16666666667
1	100000000000	25.8572481000	199999999999
2	100000000000	25.2469306000	99999999999
3	100000000000	16.9903653000	66666666667
4	100000000000	12.8506100000	49999999999
5	100000000000	10.6587012000	39999999999
6	100000000000	9.5822756000	33333333333
7	100000000000	8.2430310000	28571428571
8	100000000000	7.4414494000	49999999999
9	100000000000	6.7554723000	44444444444
10	100000000000	6.0852006000	19999999999
11	100000000000	5.7506497000	18181818181
12	100000000000	5.1008249000	83333333333
1	100000000000	25.8255079000	199999999999
2	100000000000	25.2482378000	99999999999
3	100000000000	17.0303775000	66666666667
4	100000000000	13.0940255000	49999999999
5	100000000000	10.8421008000	39999999999
6	100000000000	9.5866293000	33333333333
7	100000000000	8.2625388000	28571428571
8	100000000000	7.7923046000	74999999999
9	100000000000	6.4541889000	66666666666
10	100000000000	6.1678475000	19999999999
11	100000000000	5.5019944000	54545454545
12	100000000000	6.1128123000	16666666667
1	100000000000	25.8535029000	199999999999
2	100000000000	25.2910734000	99999999999
3	100000000000	17.0196430000	66666666667
4	100000000000	12.8656901000	49999999999
5	100000000000	11.1079183000	39999999999
6	100000000000	9.7694276000	33333333333
7	100000000000	8.5483552000	57142857143
8	100000000000	7.4344206000	24999999999
9	100000000000	6.4515283000	66666666666
10	100000000000	6.2052364000	19999999999
11	100000000000	5.6107711000	90909090909
12	100000000000	5.2893910000	83333333333
1	100000000000	25.8406873000	199999999999
2	100000000000	25.2510364000	99999999999
3	100000000000	17.0090367000	66666666667
4	100000000000	12.9652499000	99999999999
5	100000000000	10.9101312000	39999999999
6	100000000000	9.5996852000	33333333333
7	100000000000	8.2730500000	28571428571
8	100000000000	7.5692251000	24999999999
9	100000000000	6.6116807000	88888888888
10	100000000000	5.9953867000	39999999999
11	100000000000	5.5180677000	18181818181
12	100000000000	5.2876621000	16666666667
